SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE
Struthio camelus,Common Ostrich,ostric2
Struthio molybdophanes,Somali Ostrich,ostric3
Casuarius casuarius,Southern Cassowary,soucas1
Casuarius bennetti,Dwarf Cassowary,dwacas1
Casuarius unappendiculatus,Northern Cassowary,norcas1
Dromaius novaehollandiae,Emu,emu1
Apteryx australis,Southern Brown Kiwi,sobkiw1
Apteryx rowi,Okarito Brown Kiwi,okbkiw1
Apteryx mantelli,North Island Brown Kiwi,nibkiw1
Apteryx owenii,Little Spotted Kiwi,liskiw1
Apteryx maxima,Great Spotted Kiwi,grskiw1
Rhea americana,Greater Rhea,grerhe1
Rhea pennata,Lesser Rhea,lesrhe2
Tinamotis pentlandii,Puna Tinamou,puntin1
Tinamotis ingoufi,Patagonian Tinamou,pattin1
Eudromia formosa,Quebracho Crested-Tinamou,quctin1
Eudromia elegans,Elegant Crested-Tinamou,elctin1
Taoniscus nanus,Dwarf Tinamou,dwatin1
Nothura boraquira,White-bellied Nothura,whbnot1
Nothura minor,Lesser Nothura,lesnot1
Nothura darwinii,Darwin's Nothura,darnot1
Nothura maculosa,Spotted Nothura,sponot1
Rhynchotus maculicollis,Huayco Tinamou,huatin1
Rhynchotus rufescens,Red-winged Tinamou,rewtin1
Nothoprocta cinerascens,Brushland Tinamou,brutin1
Nothoprocta pentlandii,Andean Tinamou,andtin1
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1
Nothoprocta ornata,Ornate Tinamou,orntin1
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1
Nothoprocta perdicaria,Chilean Tinamou,chitin1
Nothocercus julius,Tawny-breasted Tinamou,tabtin1
Nothocercus nigrocapillus,Hooded Tinamou,hootin1
Nothocercus bonapartei,Highland Tinamou,higtin1
Tinamus major,Great Tinamou,gretin1
Tinamus solitarius,Solitary Tinamou,soltin1
Tinamus tao,Gray Tinamou,grytin1
Tinamus guttatus,White-throated Tinamou,whttin1
Tinamus osgoodi,Black Tinamou,blatin1
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1
Crypturellus cinereus,Cinereous Tinamou,cintin1
Crypturellus ptaritepui,Tepui Tinamou,teptin1
Crypturellus parvirostris,Small-billed Tinamou,smbtin1
Crypturellus tataupa,Tataupa Tinamou,tattin1
Crypturellus obsoletus,Brown Tinamou,brotin1
Crypturellus variegatus,Variegated Tinamou,vartin1
Crypturellus bartletti,Bartlett's Tinamou,bartin2
Crypturellus casiquiare,Barred Tinamou,bartin1
Crypturellus brevirostris,Rusty Tinamou,rustin1
Crypturellus soui,Little Tinamou,littin1
Crypturellus undulatus,Undulated Tinamou,undtin1
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1
Crypturellus atrocapillus,Black-capped Tinamou,blctin1
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1
Crypturellus cinnamomeus,Thicket Tinamou,thitin1
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1
Crypturellus kerriae,Choco Tinamou,chotin1
Crypturellus erythropus,Red-legged Tinamou,reltin1
Crypturellus duidae,Gray-legged Tinamou,gyltin1
Crypturellus strigulosus,Brazilian Tinamou,bratin1
Anhima cornuta,Horned Screamer,horscr1
Chauna torquata,Southern Screamer,souscr1
Chauna chavaria,Northern Screamer,norscr1
Anseranas semipalmata,Magpie Goose,maggoo1
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1
Thalassornis leuconotus,White-backed Duck,whbduc1
Anser indicus,Bar-headed Goose,bahgoo
Anser canagicus,Emperor Goose,empgoo
Anser caerulescens,Snow Goose,snogoo
Anser rossii,Ross's Goose,rosgoo
Anser anser,Graylag Goose,gragoo
Anser cygnoides,Swan Goose,swagoo1
Anser albifrons,Greater White-fronted Goose,gwfgoo
Anser erythropus,Lesser White-fronted Goose,lwfgoo
Anser fabalis,Taiga Bean-Goose,taibeg1
Anser serrirostris,Tundra Bean-Goose,tunbeg1
Anser brachyrhynchus,Pink-footed Goose,pifgoo
Branta bernicla,Brant,brant
Branta leucopsis,Barnacle Goose,bargoo
Branta hutchinsii,Cackling Goose,cacgoo1
Branta canadensis,Canada Goose,cangoo
Branta sandvicensis,Hawaiian Goose,hawgoo
Branta ruficollis,Red-breasted Goose,rebgoo1
Cereopsis novaehollandiae,Cape Barren Goose,cabgoo1
Stictonetta naevosa,Freckled Duck,freduc1
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1
Cygnus olor,Mute Swan,mutswa
Cygnus atratus,Black Swan,blkswa
Cygnus melancoryphus,Black-necked Swan,blnswa2
Cygnus buccinator,Trumpeter Swan,truswa
Cygnus columbianus,Tundra Swan,tunswa
Cygnus cygnus,Whooper Swan,whoswa
Coscoroba coscoroba,Coscoroba Swan,cosswa1
Sarkidiornis melanotos,Knob-billed Duck,comduc2
Sarkidiornis sylvicola,Comb Duck,comduc3
Pteronetta hartlaubii,Hartlaub's Duck,harduc1
Oressochen jubatus,Orinoco Goose,origoo1
Oressochen melanopterus,Andean Goose,andgoo1
Chloephaga picta,Upland Goose,uplgoo1
Chloephaga hybrida,Kelp Goose,kelgoo1
Chloephaga poliocephala,Ashy-headed Goose,ashgoo1
Chloephaga rubidiceps,Ruddy-headed Goose,ruhgoo1
Radjah radjah,Radjah Shelduck,radshe1
Alopochen aegyptiaca,Egyptian Goose,egygoo
Alopochen mauritiana,Mauritius Shelduck,maushe1
Alopochen kervazoi,Reunion Shelduck,reushe1
Tadorna ferruginea,Ruddy Shelduck,rudshe
Tadorna cana,South African Shelduck,soashe1
Tadorna tadornoides,Australian Shelduck,ausshe1
Tadorna variegata,Paradise Shelduck,parshe1
Tadorna tadorna,Common Shelduck,comshe
Tadorna cristata,Crested Shelduck,creshe1
Plectropterus gambensis,Spur-winged Goose,spwgoo1
Tachyeres patachonicus,Flying Steamer-Duck,flystd1
Tachyeres pteneres,Flightless Steamer-Duck,flistd1
Tachyeres brachypterus,Falkland Steamer-Duck,falstd1
Tachyeres leucocephalus,White-headed Steamer-Duck,whhstd1
Lophonetta specularioides,Crested Duck,creduc1
Speculanas specularis,Spectacled Duck,speduc2
Cairina moschata,Muscovy Duck,musduc
Nettapus pulchellus,Green Pygmy-Goose,grnpyg1
Nettapus coromandelianus,Cotton Pygmy-Goose,copgoo1
Nettapus auritus,African Pygmy-Goose,afrpyg1
Callonetta leucophrys,Ringed Teal,rintea1
Aix sponsa,Wood Duck,wooduc
Aix galericulata,Mandarin Duck,manduc
Chenonetta jubata,Maned Duck,manduc1
Chenonetta finschi,Finsch's Duck,finduc1
Amazonetta brasiliensis,Brazilian Teal,bratea1
Hymenolaimus malacorhynchos,Blue Duck,bluduc1
Merganetta armata,Torrent Duck,torduc1
Salvadorina waigiuensis,Salvadori's Teal,saltea1
Sibirionetta formosa,Baikal Teal,baitea
Spatula querquedula,Garganey,gargan
Spatula hottentota,Blue-billed Teal,hottea1
Spatula versicolor,Silver Teal,siltea1
Spatula puna,Puna Teal,puntea1
Spatula discors,Blue-winged Teal,buwtea
Spatula cyanoptera,Cinnamon Teal,cintea
Spatula platalea,Red Shoveler,redsho1
Spatula smithii,Cape Shoveler,capsho1
Spatula rhynchotis,Australasian Shoveler,aussho1
Spatula clypeata,Northern Shoveler,norsho
Mareca strepera,Gadwall,gadwal
Mareca falcata,Falcated Duck,falduc
Mareca penelope,Eurasian Wigeon,eurwig
Mareca americana,American Wigeon,amewig
Mareca sibilatrix,Chiloe Wigeon,chiwig1
Mareca marecula,Amsterdam Duck,amsduc1
Anas sparsa,African Black Duck,afbduc1
Anas undulata,Yellow-billed Duck,yebduc1
Anas melleri,Meller's Duck,melduc1
Anas superciliosa,Pacific Black Duck,pabduc1
Anas laysanensis,Laysan Duck,layduc
Anas wyvilliana,Hawaiian Duck,hawduc
Anas luzonica,Philippine Duck,phiduc1
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1
Anas zonorhyncha,Eastern Spot-billed Duck,spbduc
Anas platyrhynchos,Mallard,mallar3
Anas diazi,Mexican Duck,mexduc
Anas rubripes,American Black Duck,ambduc
Anas fulvigula,Mottled Duck,motduc
Anas capensis,Cape Teal,captea1
Anas bahamensis,White-cheeked Pintail,whcpin
Anas erythrorhyncha,Red-billed Duck,rebduc1
Anas acuta,Northern Pintail,norpin
Anas eatoni,Eaton's Pintail,eatpin1
Anas georgica,Yellow-billed Pintail,yebpin1
Anas crecca,Green-winged Teal,gnwtea
Anas andium,Andean Teal,spetea3
Anas flavirostris,Yellow-billed Teal,yebtea1
Anas theodori,Mauritius Duck,mauduc1
Anas albogularis,Andaman Teal,andtea1
Anas gibberifrons,Sunda Teal,suntea1
Anas gracilis,Gray Teal,gretea1
Anas castanea,Chestnut Teal,chetea1
Anas bernieri,Bernier's Teal,bertea1
Anas aucklandica,Auckland Islands Teal,auitea1
Anas nesiotis,Campbell Islands Teal,caitea1
Anas chlorotis,Brown Teal,brotea1
Malacorhynchus membranaceus,Pink-eared Duck,pieduc1
Marmaronetta angustirostris,Marbled Duck,martea1
Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1
Asarcornis scutulata,White-winged Duck,whwduc1
Netta rufina,Red-crested Pochard,recpoc
Netta erythrophthalma,Southern Pochard,soupoc1
Netta peposaca,Rosy-billed Pochard,robpoc1
Aythya valisineria,Canvasback,canvas
Aythya americana,Redhead,redhea
Aythya ferina,Common Pochard,compoc
Aythya collaris,Ring-necked Duck,rinduc
Aythya nyroca,Ferruginous Duck,ferduc
Aythya innotata,Madagascar Pochard,madpoc1
Aythya baeri,Baer's Pochard,baepoc1
Aythya australis,Hardhead,wheduc1
Aythya fuligula,Tufted Duck,tufduc
Aythya novaeseelandiae,New Zealand Scaup,nezsca1
Aythya marila,Greater Scaup,gresca
Aythya affinis,Lesser Scaup,lessca
Polysticta stelleri,Steller's Eider,steeid
Camptorhynchus labradorius,Labrador Duck,labduc
Somateria fischeri,Spectacled Eider,speeid
Somateria spectabilis,King Eider,kineid
Somateria mollissima,Common Eider,comeid
Histrionicus histrionicus,Harlequin Duck,harduc
Melanitta perspicillata,Surf Scoter,sursco
Melanitta fusca,Velvet Scoter,whwsco3
Melanitta deglandi,White-winged Scoter,whwsco2
Melanitta stejnegeri,Stejneger's Scoter,whwsco1
Melanitta nigra,Common Scoter,blksco1
Melanitta americana,Black Scoter,blksco2
Clangula hyemalis,Long-tailed Duck,lotduc
Bucephala albeola,Bufflehead,buffle
Bucephala clangula,Common Goldeneye,comgol
Bucephala islandica,Barrow's Goldeneye,bargol
Mergellus albellus,Smew,smew
Lophodytes cucullatus,Hooded Merganser,hoomer
Mergus australis,Auckland Islands Merganser,auimer1
Mergus merganser,Common Merganser,commer
Mergus octosetaceus,Brazilian Merganser,bramer1
Mergus serrator,Red-breasted Merganser,rebmer
Mergus squamatus,Scaly-sided Merganser,scsmer1
Heteronetta atricapilla,Black-headed Duck,blhduc1
Nomonyx dominicus,Masked Duck,masduc
Oxyura jamaicensis,Ruddy Duck,rudduc
Oxyura ferruginea,Andean Duck,andduc1
Oxyura leucocephala,White-headed Duck,whhduc1
Oxyura maccoa,Maccoa Duck,macduc1
Oxyura vittata,Lake Duck,lakduc1
Oxyura australis,Blue-billed Duck,blbduc1
Biziura lobata,Musk Duck,musduc1
Alectura lathami,Australian Brushturkey,ausbrt1
Aepypodius arfakianus,Wattled Brushturkey,watbrt1
Aepypodius bruijnii,Waigeo Brushturkey,brubrt1
Talegalla cuvieri,Red-billed Brushturkey,rebbrt1
Talegalla fuscirostris,Yellow-legged Brushturkey,bkbbrt1
Talegalla jobiensis,Red-legged Brushturkey,bncbrt1
Leipoa ocellata,Malleefowl,mallee1
Macrocephalon maleo,Maleo,maleo1
Eulipoa wallacei,Moluccan Megapode,molscr1
Megapodius pritchardii,Tongan Megapode,niuscr1
Megapodius laperouse,Micronesian Megapode,micscr1
Megapodius nicobariensis,Nicobar Megapode,nicscr1
Megapodius cumingii,Philippine Megapode,tabscr1
Megapodius bernsteinii,Sula Megapode,sulscr1
Megapodius tenimberensis,Tanimbar Megapode,tanscr1
Megapodius freycinet,Dusky Megapode,dusscr1
Megapodius geelvinkianus,Biak Megapode,dusscr3
Megapodius eremita,Melanesian Megapode,melscr1
Megapodius layardi,Vanuatu Megapode,vanscr1
Megapodius decollatus,New Guinea Megapode,negscr1
Megapodius reinwardt,Orange-footed Megapode,orfscr1
Penelopina nigra,Highland Guan,higgua1
Chamaepetes unicolor,Black Guan,blagua1
Chamaepetes goudotii,Sickle-winged Guan,siwgua1
Aburria aburri,Wattled Guan,watgua1
Pipile jacutinga,Black-fronted Piping-Guan,bfpgua1
Pipile pipile,Trinidad Piping-Guan,trpgua1
Pipile cumanensis,Blue-throated Piping-Guan,butpig1
Pipile grayi,White-throated Piping-Guan,butpig2
Pipile cujubi,Red-throated Piping-Guan,rtpgua1
Penelope argyrotis,Band-tailed Guan,batgua1
Penelope bridgesi,Yungas Guan,dulgua3
Penelope obscura,Dusky-legged Guan,dulgua1
Penelope pileata,White-crested Guan,whcgua1
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1
Penelope jacucaca,White-browed Guan,whbgua1
Penelope barbata,Bearded Guan,beagua1
Penelope purpurascens,Crested Guan,cregua1
Penelope superciliaris,Rusty-margined Guan,rumgua1
Penelope marail,Marail Guan,margua1
Penelope albipennis,White-winged Guan,whwgua1
Penelope ortoni,Baudo Guan,baugua1
Penelope montagnii,Andean Guan,andgua1
Penelope dabbenei,Red-faced Guan,refgua1
Penelope jacquacu,Spix's Guan,spigua1
Penelope perspicax,Cauca Guan,caugua1
Oreophasis derbianus,Horned Guan,horgua1
Nothocrax urumutum,Nocturnal Curassow,noccur1
Pauxi pauxi,Helmeted Curassow,helcur1
Pauxi koepckeae,Sira Curassow,horcur2
Pauxi unicornis,Horned Curassow,horcur3
Mitu tomentosum,Crestless Curassow,crecur2
Mitu mitu,Alagoas Curassow,alacur1
Mitu salvini,Salvin's Curassow,salcur1
Mitu tuberosum,Razor-billed Curassow,rabcur2
Crax daubentoni,Yellow-knobbed Curassow,yekcur1
Crax rubra,Great Curassow,grecur1
Crax alberti,Blue-billed Curassow,bubcur1
Crax globulosa,Wattled Curassow,watcur1
Crax blumenbachii,Red-billed Curassow,rebcur1
Crax alector,Black Curassow,blacur1
Crax fasciolata,Bare-faced Curassow,bafcur1
Ortalis vetula,Plain Chachalaca,placha
Ortalis leucogastra,White-bellied Chachalaca,whbcha1
Ortalis poliocephala,West Mexican Chachalaca,wemcha1
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1
Ortalis cinereiceps,Gray-headed Chachalaca,grhcha1
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1
Ortalis motmot,Variable Chachalaca,varcha1
Ortalis ruficeps,Chestnut-headed Chachalaca,varcha3
Ortalis canicollis,Chaco Chachalaca,chacha1
Ortalis columbiana,Colombian Chachalaca,colcha1
Ortalis guttata,Speckled Chachalaca,specha3
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1
Ortalis araucuan,East Brazilian Chachalaca,specha2
Ortalis squamata,Scaled Chachalaca,specha4
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1
Numida meleagris,Helmeted Guineafowl,helgui
Agelastes meleagrides,White-breasted Guineafowl,whbgui1
Agelastes niger,Black Guineafowl,blagui1
Acryllium vulturinum,Vulturine Guineafowl,vulgui1
Guttera plumifera,Plumed Guineafowl,plugui1
Guttera pucherani,Eastern Crested Guineafowl,cregui3
Guttera verreauxi,Western Crested Guineafowl,cregui2
Guttera edouardi,Southern Crested Guineafowl,cregui4
Ptilopachus petrosus,Stone Partridge,stopar1
Ptilopachus nahani,Nahan's Partridge,nahfra2
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1
Oreortyx pictus,Mountain Quail,mouqua
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,bcwpar1
Dendrortyx macroura,Long-tailed Wood-Partridge,ltwpar1
Dendrortyx barbatus,Bearded Wood-Partridge,bewpar1
Philortyx fasciatus,Banded Quail,banqua1
Colinus virginianus,Northern Bobwhite,norbob
Colinus nigrogularis,Black-throated Bobwhite,bltbob1
Colinus leucopogon,Spot-bellied Bobwhite,crebob2
Colinus cristatus,Crested Bobwhite,crebob1
Callipepla squamata,Scaled Quail,scaqua
Callipepla douglasii,Elegant Quail,elequa
Callipepla californica,California Quail,calqua
Callipepla gambelii,Gambel's Quail,gamqua
Cyrtonyx montezumae,Montezuma Quail,monqua
Cyrtonyx ocellatus,Ocellated Quail,ocequa1
Dactylortyx thoracicus,Singing Quail,sinqua1
Odontophorus gujanensis,Marbled Wood-Quail,mawqua1
Odontophorus capueira,Spot-winged Wood-Quail,swwqua1
Odontophorus melanotis,Black-eared Wood-Quail,bewqua1
Odontophorus atrifrons,Black-fronted Wood-Quail,bfwqua1
Odontophorus erythrops,Rufous-fronted Wood-Quail,rfwqua1
Odontophorus hyperythrus,Chestnut Wood-Quail,chwqua1
Odontophorus melanonotus,Dark-backed Wood-Quail,dbwqua1
Odontophorus speciosus,Rufous-breasted Wood-Quail,rbwqua1
Odontophorus dialeucos,Tacarcuna Wood-Quail,tawqua1
Odontophorus strophium,Gorgeted Wood-Quail,gowqua1
Odontophorus columbianus,Venezuelan Wood-Quail,venwoq1
Odontophorus leucolaemus,Black-breasted Wood-Quail,bbwqua1
Odontophorus balliviani,Stripe-faced Wood-Quail,sfwqua1
Odontophorus stellatus,Starred Wood-Quail,stwqua1
Odontophorus guttatus,Spotted Wood-Quail,spwqua1
Xenoperdix udzungwensis,Udzungwa Partridge,udzpar1
Caloperdix oculeus,Ferruginous Partridge,ferpar2
Rollulus rouloul,Crested Partridge,crepar1
Melanoperdix niger,Black Partridge,blapar2
Arborophila torqueola,Hill Partridge,hilpar1
Arborophila rufipectus,Sichuan Partridge,sicpar1
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2
Arborophila gingica,White-necklaced Partridge,whnpar2
Arborophila rufogularis,Rufous-throated Partridge,rutpar1
Arborophila rubrirostris,Red-billed Partridge,rebpar3
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1
Arborophila ardens,Hainan Partridge,haipar1
Arborophila crudigularis,Taiwan Partridge,taipar1
Arborophila atrogularis,White-cheeked Partridge,whcpar1
Arborophila brunneopectus,Bar-backed Partridge,babpar1
Arborophila davidi,Orange-necked Partridge,ornpar1
Arborophila hyperythra,Red-breasted Partridge,rebpar5
Arborophila campbelli,Malayan Partridge,gybpar3
Arborophila rolli,Roll's Partridge,gybpar5
Arborophila sumatrana,Sumatran Partridge,gybpar6
Arborophila javanica,Chestnut-bellied Partridge,chbpar1
Arborophila orientalis,Gray-breasted Partridge,gybpar4
Lerwa lerwa,Snow Partridge,snopar1
Ithaginis cruentus,Blood Pheasant,blophe1
Tragopan melanocephalus,Western Tragopan,westra1
Tragopan satyra,Satyr Tragopan,sattra1
Tragopan blythii,Blyth's Tragopan,blytra1
Tragopan temminckii,Temminck's Tragopan,temtra1
Tragopan caboti,Cabot's Tragopan,cabtra1
Tetraophasis obscurus,Chestnut-throated Monal-Partridge,verpar1
Tetraophasis szechenyii,Buff-throated Monal-Partridge,szepar1
Lophophorus impejanus,Himalayan Monal,himmon1
Lophophorus sclateri,Sclater's Monal,sclmon1
Lophophorus lhuysii,Chinese Monal,chimon1
Pucrasia macrolopha,Koklass Pheasant,kokphe1
Meleagris gallopavo,Wild Turkey,wiltur
Meleagris ocellata,Ocellated Turkey,ocetur1
Bonasa umbellus,Ruffed Grouse,rufgro
Tetrastes bonasia,Hazel Grouse,hazgro1
Tetrastes sewerzowi,Chinese Grouse,sevgro1
Centrocercus urophasianus,Greater Sage-Grouse,saggro
Centrocercus minimus,Gunnison Sage-Grouse,gusgro
Dendragapus obscurus,Dusky Grouse,dusgro
Dendragapus fuliginosus,Sooty Grouse,soogro1
Tympanuchus phasianellus,Sharp-tailed Grouse,shtgro
Tympanuchus cupido,Greater Prairie-Chicken,grpchi
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,lepchi
Lagopus leucura,White-tailed Ptarmigan,whtpta1
Lagopus scotica,Red Grouse,wilpta1
Lagopus lagopus,Willow Ptarmigan,wilpta
Lagopus muta,Rock Ptarmigan,rocpta1
Falcipennis falcipennis,Siberian Grouse,sibgro2
Canachites canadensis,Spruce Grouse,sprgro
Tetrao urogallus,Western Capercaillie,wescap1
Tetrao urogalloides,Black-billed Capercaillie,blbcap1
Lyrurus tetrix,Black Grouse,blagro1
Lyrurus mlokosiewiczi,Caucasian Grouse,caugro1
Rhizothera longirostris,Long-billed Partridge,lobpar3
Rhizothera dulitensis,Dulit Partridge,lobpar2
Perdix hodgsoniae,Tibetan Partridge,tibpar1
Perdix perdix,Gray Partridge,grypar
Perdix dauurica,Daurian Partridge,daupar1
Syrmaticus soemmerringii,Copper Pheasant,copphe1
Syrmaticus reevesii,Reeves's Pheasant,reephe1
Syrmaticus mikado,Mikado Pheasant,mikphe1
Syrmaticus ellioti,Elliot's Pheasant,ellphe1
Syrmaticus humiae,Mrs. Hume's Pheasant,humphe1
Chrysolophus pictus,Golden Pheasant,golphe
Chrysolophus amherstiae,Lady Amherst's Pheasant,laaphe1
Phasianus colchicus,Ring-necked Pheasant,rinphe1
Phasianus versicolor,Green Pheasant,rinphe2
Catreus wallichii,Cheer Pheasant,chephe1
Crossoptilon harmani,Tibetan Eared-Pheasant,whieap2
Crossoptilon crossoptilon,White Eared-Pheasant,whieap1
Crossoptilon mantchuricum,Brown Eared-Pheasant,brephe1
Crossoptilon auritum,Blue Eared-Pheasant,blephe1
Lophura edwardsi,Edwards's Pheasant,edwphe1
Lophura swinhoii,Swinhoe's Pheasant,swiphe1
Lophura bulweri,Bulwer's Pheasant,bulphe1
Lophura leucomelanos,Kalij Pheasant,kalphe
Lophura nycthemera,Silver Pheasant,silphe
Lophura erythrophthalma,Malayan Crestless Fireback,crefir5
Lophura pyronota,Bornean Crestless Fireback,crefir6
Lophura diardi,Siamese Fireback,siafir1
Lophura inornata,Salvadori's Pheasant,salphe1
Lophura rufa,Malayan Crested Fireback,crefir3
Lophura ignita,Bornean Crested Fireback,crefir4
Rheinardia ocellata,Vietnamese Crested Argus,crearg1
Rheinardia nigrescens,Malayan Crested Argus,crearg3
Argusianus argus,Great Argus,grearg1
Afropavo congensis,Congo Peacock,conpea1
Pavo cristatus,Indian Peafowl,compea
Pavo muticus,Green Peafowl,grepea1
Tropicoperdix chloropus,Scaly-breasted Partridge,scbpar1
Tropicoperdix charltonii,Chestnut-necklaced Partridge,chnpar1
Tropicoperdix graydoni,Sabah Partridge,chnpar3
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1
Galloperdix spadicea,Red Spurfowl,redspu1
Galloperdix lunulata,Painted Spurfowl,paispu1
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1
Polyplectron napoleonis,Palawan Peacock-Pheasant,palpep1
Polyplectron schleiermacheri,Bornean Peacock-Pheasant,bopphe1
Polyplectron malacense,Malayan Peacock-Pheasant,mapphe1
Polyplectron germaini,Germain's Peacock-Pheasant,gepphe1
Polyplectron katsumatae,Hainan Peacock-Pheasant,grypep3
Polyplectron bicalcaratum,Gray Peacock-Pheasant,grypep2
Polyplectron inopinatum,Mountain Peacock-Pheasant,mopphe1
Polyplectron chalcurum,Bronze-tailed Peacock-Pheasant,btpphe1
Bambusicola fytchii,Mountain Bamboo-Partridge,mobpar1
Bambusicola thoracicus,Chinese Bamboo-Partridge,chbpar3
Bambusicola sonorivox,Taiwan Bamboo-Partridge,taibap1
Gallus varius,Green Junglefowl,grejun1
Gallus gallus,Red Junglefowl,redjun
Gallus sonneratii,Gray Junglefowl,grejun2
Gallus lafayettii,Sri Lanka Junglefowl,ceyjun1
Peliperdix lathami,Latham's Francolin,forfra2
Ortygornis sephaena,Crested Francolin,crefra2
Ortygornis pondicerianus,Gray Francolin,gryfra
Ortygornis gularis,Swamp Francolin,swafra1
Francolinus pintadeanus,Chinese Francolin,chifra1
Francolinus francolinus,Black Francolin,blkfra
Francolinus pictus,Painted Francolin,paifra1
Campocolinus coqui,Coqui Francolin,coqfra2
Campocolinus albogularis,White-throated Francolin,whtfra2
Campocolinus schlegelii,Schlegel's Francolin,schfra2
Scleroptila streptophora,Ring-necked Francolin,rinfra2
Scleroptila levaillantii,Red-winged Francolin,rewfra2
Scleroptila finschi,Finsch's Francolin,finfra2
Scleroptila psilolaema,Moorland Francolin,moofra2
Scleroptila elgonensis,Elgon Francolin,moofra3
Scleroptila afra,Gray-winged Francolin,gywfra1
Scleroptila gutturalis,Orange River Francolin,orrfra2
Scleroptila shelleyi,Shelley's Francolin,shefra1
Scleroptila whytei,Whyte's Francolin,shefra3
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1
Tetraogallus altaicus,Altai Snowcock,altsno1
Tetraogallus caucasicus,Caucasian Snowcock,causno1
Tetraogallus caspius,Caspian Snowcock,cassno1
Tetraogallus himalayensis,Himalayan Snowcock,himsno
Ammoperdix griseogularis,See-see Partridge,sespar1
Ammoperdix heyi,Sand Partridge,sanpar1
Synoicus ypsilophorus,Brown Quail,broqua1
Synoicus monorthonyx,Snow Mountain Quail,snmqua2
Synoicus chinensis,Blue-breasted Quail,blbqua1
Synoicus adansonii,Blue Quail,bluqua1
Margaroperdix madagarensis,Madagascar Partridge,madpar2
Coturnix coturnix,Common Quail,comqua1
Coturnix japonica,Japanese Quail,japqua
Coturnix delegorguei,Harlequin Quail,harqua1
Coturnix coromandelica,Rain Quail,raiqua1
Coturnix pectoralis,Stubble Quail,stuqua1
Coturnix novaezelandiae,New Zealand Quail,nezqua1
Alectoris barbara,Barbary Partridge,barpar2
Alectoris melanocephala,Arabian Partridge,arapar1
Alectoris rufa,Red-legged Partridge,relpar1
Alectoris chukar,Chukar,chukar
Alectoris graeca,Rock Partridge,rocpar2
Alectoris philbyi,Philby's Partridge,phipar1
Alectoris magna,Przevalski's Partridge,przpar1
Perdicula asiatica,Jungle Bush-Quail,jubqua1
Perdicula argoondah,Rock Bush-Quail,robqua1
Perdicula erythrorhyncha,Painted Bush-Quail,pabqua1
Perdicula manipurensis,Manipur Bush-Quail,mabqua1
Ophrysia superciliosa,Himalayan Quail,himqua1
Pternistis hartlaubi,Hartlaub's Spurfowl,harfra3
Pternistis camerunensis,Mount Cameroon Spurfowl,camfra2
Pternistis nobilis,Handsome Spurfowl,hanfra2
Pternistis castaneicollis,Chestnut-naped Spurfowl,chnfra2
Pternistis erckelii,Erckel's Spurfowl,ercfra
Pternistis ochropectus,Djibouti Spurfowl,djifra1
Pternistis swierstrai,Swierstra's Spurfowl,swifra2
Pternistis ahantensis,Ahanta Spurfowl,ahafra2
Pternistis griseostriatus,Gray-striped Spurfowl,gysfra1
Pternistis jacksoni,Jackson's Spurfowl,jacfra2
Pternistis adspersus,Red-billed Spurfowl,rebfra1
Pternistis capensis,Cape Spurfowl,capfra2
Pternistis natalensis,Natal Spurfowl,natfra2
Pternistis hildebrandti,Hildebrandt's Spurfowl,hilfra2
Pternistis bicalcaratus,Double-spurred Spurfowl,dosfra2
Pternistis squamatus,Scaly Spurfowl,scafra2
Pternistis icterorhynchus,Heuglin's Spurfowl,heufra1
Pternistis clappertoni,Clapperton's Spurfowl,clafra1
